,Station,Dates,pH,Dissolved Oxygen (mg/L),Water Temperature (°C),Suspended solids (mg/L),Conductivity (μS/cm),5-Day Biochemical Oxygen Demand (mg/L),Ammonia-Nitrogen (mg/L),Total Phosphorus (mg/L),Nitrate-Nitrogen (mg/L),Nitrite-Nitrogen (mg/L)
0,AN1,1/22/2018,8.1,8.5,18.4,4.2,25630,1.4,0.39,0.09,0.63,0.03
1,AN1,2/1/2018,8.3,10.2,11.6,12.0,12591,2.5,0.39,0.13,1.1,0.024
2,AN1,3/19/2018,8.3,8.7,21.8,1.2,3226,1.9,0.94,0.22,1.2,0.12
3,AN1,4/26/2018,8.1,8.0,22.1,2.3,22720,0.4,0.065,0.31,1.3,0.014
4,AN1,5/11/2018,8.3,8.0,23.6,5.3,18069,1.1,0.48,0.09,1.1,0.046
5,AN1,6/14/2018,7.9,8.0,25.6,1.7,8217,0.5,0.018,0.05,0.66,0.007
6,AN1,7/16/2018,7.7,7.9,26.8,7.4,2265,0.3,0.028,0.08,0.4,0.018
7,AN1,8/16/2018,7.7,7.8,26.8,3.8,2711,9.0,0.056,0.06,0.48,0.01
8,AN1,9/13/2018,7.6,8.2,25.6,5.2,385,1.9,0.5,0.1,0.53,0.027
9,AN1,10/18/2018,7.9,8.5,22.5,5.1,8819,0.5,0.058,0.04,0.62,0.024
10,AN1,11/15/2018,8.2,8.4,22.4,7.9,16340,0.4,0.03,0.05,0.51,0.01
11,AN1,12/8/2018,7.9,8.9,18.3,5.9,18695,0.6,0.044,0.06,0.47,0.02
12,AN2,1/22/2018,8.3,10.1,19.2,1.3,180,0.8,0.034,0.07,0.57,0.016
13,AN2,2/1/2018,8.7,11.6,11.3,1.4,84,4.2,2.0,0.16,0.62,0.022
14,AN2,3/19/2018,9.2,11.5,22.5,1.4,156,1.1,0.026,0.12,0.46,0.035
15,AN2,4/26/2018,9.1,10.6,22.3,1.1,221,0.6,0.03,0.13,0.56,0.012
16,AN2,5/11/2018,8.8,10.3,24.4,1.7,193,0.9,0.02,0.08,0.48,0.012
17,AN2,6/14/2018,8.0,8.5,25.4,2.0,329,0.2,0.019,0.05,0.33,0.002
18,AN2,7/16/2018,7.4,7.9,26.8,3.4,109,0.5,0.01,0.07,0.22,0.007
19,AN2,8/16/2018,7.5,8.0,26.5,3.0,116,0.4,0.11,0.04,0.21,0.002
20,AN2,9/13/2018,7.7,8.2,25.2,3.3,157,0.3,0.015,0.04,0.19,0.002
21,AN2,10/18/2018,7.3,8.8,22.1,1.8,119,0.5,0.026,0.03,0.39,0.008
22,AN2,11/15/2018,8.1,9.2,22.3,1.0,184,0.2,0.018,0.05,0.24,0.002
23,AN2,12/8/2018,8.1,9.7,18.4,1.9,178,0.1,0.011,0.06,0.38,0.003
24,DB1,1/25/2018,6.3,9.6,18.0,1.2,37,0.1,0.022,0.02,0.24,0.002
25,DB1,2/23/2018,6.9,9.9,16.4,1.6,37,0.1,0.025,0.02,0.33,0.002
26,DB1,3/22/2018,6.6,9.4,20.2,1.8,44,0.3,0.005,0.02,0.19,0.002
27,DB1,4/23/2018,6.7,8.2,27.2,1.7,62,0.4,0.008,0.02,0.17,0.002
28,DB1,5/24/2018,6.7,7.6,31.9,2.0,63,0.2,0.018,0.02,0.27,0.002
29,DB1,6/25/2018,5.8,8.0,27.0,1900.0,31,3.3,0.2,0.19,0.59,0.004
30,DB1,7/23/2018,6.4,7.7,28.7,4.7,86,0.2,0.02,0.02,0.53,0.004
31,DB1,8/29/2018,6.4,8.0,26.4,7.1,82,0.1,0.015,0.02,0.98,0.002
32,DB1,9/24/2018,6.8,8.1,25.6,310.0,90,3.6,0.24,0.02,1.3,0.004
33,DB1,10/19/2018,7.1,8.6,23.3,1.6,82,0.1,0.016,0.02,0.59,0.002
34,DB1,11/14/2018,6.7,8.6,23.0,1.4,79,0.3,0.012,0.02,0.33,0.002
35,DB1,12/14/2018,7.1,10.1,15.2,1.4,35,0.1,0.007,0.02,0.35,0.002
36,DB2,1/25/2018,6.5,9.7,18.2,1.6,46,0.1,0.017,0.02,0.15,0.002
37,DB2,2/23/2018,7.3,10.1,16.4,1.7,44,0.1,0.022,0.02,0.24,0.002
38,DB2,3/22/2018,6.2,9.2,18.8,1.4,51,0.4,0.005,0.02,0.14,0.002
39,DB2,4/23/2018,7.5,8.2,27.8,2.2,68,0.7,0.024,0.02,0.2,0.003
40,DB2,5/24/2018,6.8,7.1,31.8,23.0,243,0.5,0.03,0.02,0.12,0.002
41,DB2,6/25/2018,6.5,7.8,26.6,440.0,37,2.7,0.066,0.04,0.21,0.006
42,DB2,7/23/2018,7.4,7.6,29.5,2.0,164,1.3,4.4,0.04,0.29,0.083
43,DB2,8/29/2018,6.7,7.8,26.2,5.5,102,8.0,0.74,0.02,0.33,0.003
44,DB2,9/24/2018,7.4,8.2,25.2,170.0,102,2.6,0.1,0.02,0.42,0.009
45,DB2,10/19/2018,7.5,8.8,23.8,3.5,89,0.1,0.028,0.02,0.26,0.002
46,DB2,11/14/2018,7.4,8.5,23.6,2.6,88,0.3,0.015,0.02,0.18,0.002
47,DB2,12/14/2018,7.4,10.2,15.3,1.0,41,0.1,0.013,0.02,0.19,0.002
48,DB3,1/25/2018,6.1,9.4,18.3,1.9,47,0.1,0.02,0.02,0.23,0.002
49,DB3,2/23/2018,6.8,9.7,16.4,2.5,44,0.1,0.036,0.02,0.3,0.002
50,DB3,3/22/2018,6.3,9.2,20.6,2.7,55,0.5,0.005,0.02,0.19,0.002
51,DB3,4/23/2018,6.5,7.8,26.8,2.0,65,0.7,0.079,0.02,0.17,0.005
52,DB3,5/24/2018,6.6,7.9,31.5,2.5,67,0.3,0.006,0.02,0.19,0.002
53,DB3,6/25/2018,5.5,7.6,27.3,1200.0,33,2.8,0.14,0.24,0.36,0.004
54,DB3,7/23/2018,5.9,7.4,28.4,2.5,97,0.1,0.016,0.02,0.34,0.003
55,DB3,8/29/2018,6.0,7.6,26.3,18.0,100,0.1,0.025,0.02,0.59,0.002
56,DB3,9/24/2018,6.2,7.7,25.9,110.0,95,1.0,0.082,0.02,0.59,0.002
57,DB3,10/19/2018,6.6,8.3,24.4,1.6,93,0.1,0.029,0.02,0.46,0.002
58,DB3,11/14/2018,6.7,8.5,23.7,1.1,85,0.1,0.027,0.02,0.29,0.002
59,DB3,12/14/2018,6.8,9.8,15.6,1.5,42,0.3,0.019,0.02,0.3,0.002
60,DB5,1/25/2018,6.7,9.2,19.3,4.0,55,2.3,1.4,0.24,0.27,0.011
61,DB5,2/23/2018,7.1,9.7,17.0,4.6,50,2.1,0.97,0.21,0.28,0.006
62,DB5,3/22/2018,6.6,8.8,20.9,7.3,75,7.2,2.2,0.57,0.27,0.012
63,DB5,4/23/2018,6.7,7.1,26.9,1.3,95,5.4,2.5,0.49,0.28,0.028
64,DB5,5/24/2018,6.7,7.4,30.9,1.6,94,2.7,2.2,0.28,0.26,0.038
65,DB5,6/25/2018,6.0,7.7,27.6,780.0,39,0.9,0.042,0.05,0.23,0.002
66,DB5,7/23/2018,6.5,7.2,30.2,8.1,108,3.3,0.5,0.27,0.24,0.004
67,DB5,8/29/2018,6.2,7.8,26.6,18.0,89,0.5,0.055,0.02,0.29,0.002
68,DB5,9/24/2018,6.4,7.7,26.1,26.0,91,1.0,0.14,0.03,0.32,0.002
69,DB5,10/19/2018,6.7,8.2,25.3,1.2,91,1.2,0.17,0.06,0.28,0.002
70,DB5,11/14/2018,6.8,8.2,24.1,1.8,86,0.6,0.032,0.02,0.21,0.002
71,DB5,12/14/2018,7.0,9.7,16.3,5.6,40,1.0,0.064,0.02,0.22,0.002
72,DB6,1/25/2018,6.4,8.9,19.5,2.1,71,0.2,0.047,0.06,0.22,0.002
73,DB6,2/23/2018,7.0,9.3,17.3,1.4,92,0.3,0.063,0.1,0.3,0.003
74,DB6,3/22/2018,6.6,9.2,21.2,1.4,94,0.5,0.025,0.11,0.077,0.002
75,DB6,4/23/2018,7.1,8.3,26.5,1.7,512,0.7,0.19,0.35,0.038,0.004
76,DB6,5/24/2018,6.8,6.2,31.6,13.0,360,0.7,0.42,0.3,0.023,0.003
77,DB6,6/25/2018,6.5,6.9,27.6,22.0,84,0.8,0.069,0.06,0.27,0.005
78,DB6,7/23/2018,6.7,8.0,29.1,15.0,405,0.7,0.21,0.17,0.17,0.006
79,DB6,8/29/2018,6.2,7.6,26.4,3.7,103,0.2,0.079,0.04,0.36,0.002
80,DB6,9/24/2018,6.4,7.6,26.6,9.5,132,1.2,0.076,0.06,0.37,0.002
81,DB6,10/19/2018,6.7,8.3,24.6,5.1,115,0.1,0.11,0.07,0.3,0.003
